key,priority,created,status,versions
IGNITE-15479,Major,2021-09-08 16:01:59+00:00,Resolved,python-0.4.0 python-0.5.0 python-0.5.1
IGNITE-15473,Major,2021-09-08 06:53:06+00:00,Open,
IGNITE-15472,Major,2021-09-08 06:08:47+00:00,Open,
IGNITE-15471,Minor,2021-09-08 05:49:47+00:00,Open,
IGNITE-15468,Major,2021-09-07 16:23:00+00:00,Open,
IGNITE-15463,Major,2021-09-06 21:16:33+00:00,Open,2.8
IGNITE-15458,Critical,2021-09-06 11:32:17+00:00,Closed,
IGNITE-15455,Major,2021-09-06 07:46:15+00:00,Open,
IGNITE-15454,Major,2021-09-04 13:58:24+00:00,Resolved,
IGNITE-15449,Major,2021-09-03 15:42:18+00:00,Resolved,
IGNITE-15444,Blocker,2021-09-03 14:23:45+00:00,Resolved,
IGNITE-15442,Major,2021-09-03 11:02:28+00:00,Open,
IGNITE-15441,Minor,2021-09-03 09:01:11+00:00,Resolved,
IGNITE-15439,Blocker,2021-09-03 09:00:07+00:00,Resolved,
IGNITE-15438,Blocker,2021-09-03 08:52:59+00:00,Resolved,
IGNITE-15435,Minor,2021-09-03 02:40:47+00:00,Open,
IGNITE-15429,Major,2021-09-02 14:22:55+00:00,Resolved,
IGNITE-15421,Minor,2021-09-02 04:21:30+00:00,Open,
IGNITE-15418,Major,2021-09-01 10:20:35+00:00,Open,
IGNITE-15417,Major,2021-09-01 09:34:26+00:00,Resolved,
IGNITE-15411,Major,2021-08-31 15:22:44+00:00,Open,
IGNITE-15410,Major,2021-08-31 14:59:54+00:00,Open,
IGNITE-15408,Major,2021-08-31 14:50:31+00:00,Resolved,
IGNITE-15406,Major,2021-08-31 13:53:24+00:00,Resolved,
IGNITE-15403,Major,2021-08-31 12:28:42+00:00,Resolved,
IGNITE-15401,Major,2021-08-31 12:06:26+00:00,Resolved,
IGNITE-15400,Major,2021-08-31 10:46:58+00:00,Open,
IGNITE-15398,Blocker,2021-08-30 21:03:19+00:00,Resolved,
IGNITE-15396,Major,2021-08-30 19:16:28+00:00,Resolved,
