key,priority,created,status,versions
SPARK-36856,Minor,2021-09-26 09:19:42+00:00,Resolved,3.2.0 3.3.0
SPARK-36853,Trivial,2021-09-25 13:56:36+00:00,In Progress,3.3.0
SPARK-36844,Minor,2021-09-24 15:03:00+00:00,Open,3.1.1
SPARK-36842,Major,2021-09-24 10:51:12+00:00,In Progress,3.3.0
SPARK-36836,Major,2021-09-23 23:31:27+00:00,Resolved,2.4.0 3.0.0 3.1.0 3.2.0
SPARK-36835,Blocker,2021-09-23 23:19:01+00:00,Resolved,3.2.0
SPARK-36833,Critical,2021-09-23 12:17:50+00:00,Open,3.0.0
SPARK-36827,Major,2021-09-22 17:27:02+00:00,Resolved,3.1.2
SPARK-36826,Major,2021-09-22 11:41:13+00:00,Resolved,3.1.2
SPARK-36815,Major,2021-09-21 11:32:37+00:00,Resolved,3.0.2
SPARK-36810,Major,2021-09-20 17:54:51+00:00,Open,3.2.0
SPARK-36806,Major,2021-09-20 05:57:16+00:00,Resolved,3.2.0 3.1.3 3.3.0
SPARK-36804,Minor,2021-09-20 04:12:21+00:00,Resolved,3.1.2
SPARK-36803,Major,2021-09-20 00:20:50+00:00,Resolved,3.1.2
SPARK-36802,Major,2021-09-19 20:53:22+00:00,Open,2.3.0 3.1.2
SPARK-36798,Minor,2021-09-18 08:39:18+00:00,Resolved,2.3.2
SPARK-36795,Major,2021-09-17 21:37:28+00:00,Resolved,3.1.2
SPARK-36789,Major,2021-09-17 06:16:21+00:00,Resolved,3.0.0
SPARK-36787,Major,2021-09-17 00:51:58+00:00,Open,3.1.2
SPARK-36784,Major,2021-09-16 17:57:58+00:00,In Progress,2.3.0
SPARK-36783,Major,2021-09-16 16:45:52+00:00,Resolved,3.1.0
SPARK-36782,Major,2021-09-16 14:03:32+00:00,Resolved,3.1.0 3.1.1 3.1.2 3.2.0 3.1.3 3.2.1 3.3.0
SPARK-36781,Major,2021-09-16 10:19:44+00:00,Open,2.4.6 3.0.3 3.1.2
SPARK-36776,Major,2021-09-16 06:36:11+00:00,Resolved,3.1.2
SPARK-36773,Major,2021-09-16 03:23:54+00:00,Resolved,3.3.0
SPARK-36772,Blocker,2021-09-15 23:53:48+00:00,Resolved,3.2.0
SPARK-36766,Major,2021-09-15 14:55:24+00:00,Resolved,3.0.2
SPARK-36765,Major,2021-09-15 14:12:50+00:00,Open,3.1.2
SPARK-36764,Major,2021-09-15 06:47:50+00:00,Resolved,2.4.8 3.0.3 3.1.2 3.2.0
SPARK-36761,Major,2021-09-15 04:33:50+00:00,Open,3.0.2
