key,priority,created,status,versions
KAFKA-13270,Blocker,2021-09-03 01:12:24+00:00,Resolved,3.0.0
KAFKA-13269,Major,2021-09-03 00:15:14+00:00,Open,2.6.2
KAFKA-13267,Major,2021-09-02 15:30:48+00:00,Open,2.8.0
KAFKA-13266,Blocker,2021-09-02 14:05:47+00:00,Resolved,
KAFKA-13264,Major,2021-09-02 07:47:33+00:00,Resolved,2.8.0
KAFKA-13263,Major,2021-09-01 20:14:21+00:00,Open,2.6.2
KAFKA-13262,Blocker,2021-09-01 18:40:59+00:00,Resolved,
KAFKA-13261,Major,2021-09-01 13:42:27+00:00,Patch Available,2.8.0 2.7.1
KAFKA-13257,Major,2021-09-01 07:03:59+00:00,Resolved,2.8.0
KAFKA-13256,Major,2021-08-31 12:33:07+00:00,Resolved,2.8.0 3.0.0
KAFKA-13255,Major,2021-08-31 06:41:12+00:00,Open,2.8.0
KAFKA-13254,Major,2021-08-30 23:45:53+00:00,Resolved,
KAFKA-13253,Major,2021-08-30 13:17:08+00:00,Resolved,2.7.1
KAFKA-13252,Major,2021-08-30 10:10:10+00:00,Closed,
KAFKA-13251,Major,2021-08-30 09:31:42+00:00,Open,2.4.0
KAFKA-13250,Major,2021-08-30 09:31:41+00:00,Closed,2.4.0
KAFKA-13249,Major,2021-08-29 21:48:31+00:00,Resolved,2.7.0 2.8.0 3.0.0
KAFKA-13248,Minor,2021-08-29 03:51:37+00:00,Open,
KAFKA-13242,Major,2021-08-27 14:04:53+00:00,Open,
KAFKA-13241,Minor,2021-08-27 10:05:16+00:00,Open,2.8.0
KAFKA-13236,Minor,2021-08-27 00:55:10+00:00,Resolved,2.6.0 2.7.0 2.8.0
KAFKA-13234,Major,2021-08-26 17:52:07+00:00,Resolved,
KAFKA-13232,Minor,2021-08-26 10:43:01+00:00,Open,2.7.0 2.8.0
KAFKA-13231,Major,2021-08-26 09:51:14+00:00,Resolved,
KAFKA-13228,Major,2021-08-26 01:48:21+00:00,Patch Available,
KAFKA-13226,Major,2021-08-25 08:56:32+00:00,Open,2.5.0 2.8.0 2.7.1 2.6.2
KAFKA-13225,Minor,2021-08-24 06:46:05+00:00,Resolved,
KAFKA-13224,Major,2021-08-23 22:38:36+00:00,Open,3.0.0
KAFKA-13223,Major,2021-08-23 16:45:56+00:00,Resolved,
KAFKA-13222,Major,2021-08-22 01:56:43+00:00,Open,2.0.1
KAFKA-13220,Trivial,2021-08-20 12:03:40+00:00,Open,
KAFKA-13219,Blocker,2021-08-19 21:53:26+00:00,Resolved,3.0.0
KAFKA-13218,Blocker,2021-08-19 03:19:12+00:00,Resolved,2.7.0
KAFKA-13216,Critical,2021-08-18 22:25:58+00:00,Resolved,
KAFKA-13215,Major,2021-08-18 16:33:02+00:00,Resolved,
KAFKA-13214,Critical,2021-08-18 16:23:33+00:00,Resolved,2.7.0 2.8.0
KAFKA-13213,Major,2021-08-18 11:45:52+00:00,Open,2.6.0
KAFKA-13210,Major,2021-08-18 02:25:31+00:00,Resolved,
KAFKA-13206,Major,2021-08-16 17:12:59+00:00,Open,3.0.0
KAFKA-13204,Major,2021-08-16 07:01:11+00:00,Resolved,2.8.0
KAFKA-13203,Major,2021-08-15 18:39:45+00:00,Open,
KAFKA-13198,Blocker,2021-08-12 20:35:40+00:00,Resolved,
KAFKA-13197,Major,2021-08-12 15:26:51+00:00,Open,2.7.0
KAFKA-13196,Major,2021-08-12 14:38:21+00:00,Open,2.7.1
KAFKA-13194,Minor,2021-08-11 19:55:36+00:00,Resolved,
KAFKA-13193,Major,2021-08-11 18:37:11+00:00,Open,
KAFKA-13192,Major,2021-08-11 17:11:40+00:00,Open,3.0.0
KAFKA-13191,Major,2021-08-11 10:34:41+00:00,Open,2.8.0 3.0.0
KAFKA-13185,Critical,2021-08-10 08:50:07+00:00,Open,
KAFKA-13184,Major,2021-08-10 04:40:34+00:00,Open,
KAFKA-13183,Major,2021-08-09 17:19:42+00:00,Open,
KAFKA-13180,Major,2021-08-09 13:44:09+00:00,Open,2.8.0
KAFKA-13178,Major,2021-08-08 08:08:01+00:00,Open,
KAFKA-13177,Major,2021-08-08 08:04:22+00:00,Resolved,
KAFKA-13176,Major,2021-08-08 07:55:22+00:00,Open,
KAFKA-13175,Major,2021-08-06 09:45:09+00:00,Resolved,
KAFKA-13174,Major,2021-08-06 00:20:33+00:00,Open,2.5.1
KAFKA-13173,Blocker,2021-08-05 20:36:32+00:00,Resolved,
KAFKA-13170,Major,2021-08-05 07:29:12+00:00,Resolved,
KAFKA-13169,Major,2021-08-05 07:27:43+00:00,Open,
KAFKA-13168,Blocker,2021-08-04 22:53:19+00:00,Resolved,
KAFKA-13167,Major,2021-08-04 19:17:04+00:00,Resolved,
KAFKA-13166,Minor,2021-08-04 18:06:40+00:00,Open,
KAFKA-13164,Major,2021-08-04 12:47:06+00:00,Closed,2.8.0
KAFKA-13162,Blocker,2021-08-04 00:31:39+00:00,Resolved,
KAFKA-13161,Blocker,2021-08-04 00:23:40+00:00,Resolved,
KAFKA-13160,Blocker,2021-08-03 18:48:17+00:00,Resolved,3.0.0
KAFKA-13156,Minor,2021-08-03 05:38:02+00:00,Open,
KAFKA-13155,Major,2021-08-02 22:47:02+00:00,Resolved,
KAFKA-13154,Minor,2021-08-02 17:11:38+00:00,Open,2.5.1
