key,priority,created,status,versions
CAMEL-16661,Minor,2021-05-26 07:10:26+00:00,Resolved,3.10.0
CAMEL-16659,Major,2021-05-26 05:15:40+00:00,Resolved,3.7.0
CAMEL-16658,Minor,2021-05-25 14:52:32+00:00,Resolved,3.x
CAMEL-16657,Minor,2021-05-25 14:43:51+00:00,Resolved,3.10.0
CAMEL-16655,Major,2021-05-24 16:27:08+00:00,Resolved,
CAMEL-16649,Minor,2021-05-21 17:50:43+00:00,Resolved,3.10.0
CAMEL-16640,Major,2021-05-20 12:01:45+00:00,Resolved,3.10.0
CAMEL-16638,Minor,2021-05-20 08:08:37+00:00,Open,
CAMEL-16634,Minor,2021-05-19 12:43:20+00:00,Resolved,3.9.0
CAMEL-16632,Minor,2021-05-19 10:32:13+00:00,Resolved,3.10.0
CAMEL-16629,Major,2021-05-19 04:53:23+00:00,Resolved,
CAMEL-16622,Minor,2021-05-17 08:30:17+00:00,Resolved,2.25.1
CAMEL-16617,Minor,2021-05-15 10:23:33+00:00,Resolved,3.10.0
CAMEL-16604,Major,2021-05-11 12:14:40+00:00,Resolved,
CAMEL-16594,Major,2021-05-07 13:02:52+00:00,Resolved,
CAMEL-16587,Minor,2021-05-06 11:10:03+00:00,Resolved,3.8.0 3.9.0
CAMEL-16586,Major,2021-05-06 07:40:43+00:00,Resolved,3.7.4 3.9.0
CAMEL-16582,Major,2021-05-05 12:48:15+00:00,Resolved,3.7.4
CAMEL-16581,Major,2021-05-05 11:32:13+00:00,Resolved,3.6.0
CAMEL-16574,Major,2021-05-04 11:35:14+00:00,Resolved,3.7.0 3.7.4 3.7.3 3.9.0
CAMEL-16569,Major,2021-05-02 14:15:31+00:00,Resolved,
CAMEL-16567,Minor,2021-05-01 11:12:17+00:00,Resolved,3.9.0
CAMEL-16566,Major,2021-04-30 12:15:17+00:00,Resolved,3.7.3
CAMEL-16563,Minor,2021-04-29 18:21:35+00:00,Resolved,2.25.1
CAMEL-16559,Minor,2021-04-29 06:42:58+00:00,Resolved,3.9.0
CAMEL-16556,Major,2021-04-26 21:11:57+00:00,Resolved,
CAMEL-16555,Minor,2021-04-26 17:06:08+00:00,Resolved,
CAMEL-16553,Minor,2021-04-26 10:29:32+00:00,Resolved,3.4.0
CAMEL-16551,Major,2021-04-25 20:35:18+00:00,Resolved,
CAMEL-16550,Major,2021-04-23 06:58:26+00:00,Resolved,3.7.3 3.9.0
CAMEL-16547,Major,2021-04-22 14:36:08+00:00,Resolved,
CAMEL-16538,Minor,2021-04-21 12:56:16+00:00,Closed,3.9.0
CAMEL-16536,Minor,2021-04-21 09:00:47+00:00,Resolved,3.9.0
CAMEL-16534,Major,2021-04-20 12:23:50+00:00,Resolved,3.9.0
CAMEL-16532,Minor,2021-04-20 06:24:18+00:00,Resolved,2.24.2 3.9.0
CAMEL-16530,Major,2021-04-19 20:13:13+00:00,Resolved,3.9.0
CAMEL-16529,Minor,2021-04-19 19:03:33+00:00,Resolved,3.7.0 3.8.0 3.9.0
CAMEL-16527,Major,2021-04-19 10:17:43+00:00,Resolved,3.9.0
CAMEL-16526,Major,2021-04-18 09:25:23+00:00,Resolved,3.9.0
CAMEL-16525,Major,2021-04-17 07:48:48+00:00,Resolved,3.9.0
CAMEL-16516,Major,2021-04-16 04:42:29+00:00,Resolved,
CAMEL-16515,Minor,2021-04-15 16:24:55+00:00,Resolved,
CAMEL-16509,Major,2021-04-14 16:52:49+00:00,Resolved,3.9.0
CAMEL-16507,Major,2021-04-14 13:33:14+00:00,Resolved,3.9.0
CAMEL-16503,Minor,2021-04-14 09:17:27+00:00,Resolved,3.9.0
CAMEL-16500,Major,2021-04-14 07:44:09+00:00,Resolved,3.8.0 3.9.0
CAMEL-16498,Major,2021-04-14 06:41:29+00:00,Resolved,3.9.0
CAMEL-16496,Minor,2021-04-13 12:32:51+00:00,Open,3.9.0
CAMEL-16490,Major,2021-04-12 16:00:49+00:00,Resolved,3.9.0
CAMEL-16489,Major,2021-04-12 14:50:37+00:00,Resolved,3.9.0
CAMEL-16480,Minor,2021-04-09 14:26:09+00:00,Resolved,3.7.3 3.8.0
CAMEL-16476,Major,2021-04-09 10:17:01+00:00,Resolved,3.9.0
